"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"3132","Spanish (Mexican)","produces","these",24,16,61,0.207792207792208,"function_words","pronouns","éstas","éstas, éstos",5,6.48778565799717,-5.42078246809161,NA,NA,7.86486486486486,2.090909091,2.03
"3133","Spanish (Mexican)","produces","these",24,16,61,0.207792207792208,"function_words","pronouns","éstos","éstas, éstos",5,6.48778565799717,-5.42078246809161,NA,NA,7.86486486486486,2.090909091,2.03
"3134","Spanish (Mexican)","produces","they",24,11,66,0.142857142857143,"function_words","pronouns","ellas","ellas, ellos",4,8.60666666666524,-7.55417452450018,NA,NA,18.7674418604651,2.909090909,2.93
"3135","Spanish (Mexican)","produces","they",24,11,66,0.142857142857143,"function_words","pronouns","ellos","ellas, ellos",4,8.60666666666524,-7.55417452450018,NA,NA,18.7674418604651,2.909090909,2.93
"3136","Spanish (Mexican)","produces","this",24,52,25,0.675324675324675,"function_words","pronouns","ésta","ésta, éste, esto",4,6.02674902718512,-3.15374835936188,NA,NA,5.14634146341463,2.3,2.14
"3137","Spanish (Mexican)","produces","this",24,52,25,0.675324675324675,"function_words","pronouns","éste","ésta, éste, esto",4,6.02674902718512,-3.15374835936188,NA,NA,5.14634146341463,2.3,2.14
"3138","Spanish (Mexican)","produces","this",24,52,25,0.675324675324675,"function_words","pronouns","esto","ésta, éste, esto",4,6.02674902718512,-3.15374835936188,NA,NA,5.14634146341463,2.3,2.14
"3139","Spanish (Mexican)","produces","those",24,16,61,0.207792207792208,"function_words","pronouns","esas","esas, esos",4,7.29861111111049,-6.6155193437338,NA,NA,18.4210526315789,2.818181818,2.32
"3140","Spanish (Mexican)","produces","those",24,16,61,0.207792207792208,"function_words","pronouns","esos","esas, esos",4,7.29861111111049,-6.6155193437338,NA,NA,18.4210526315789,2.818181818,2.32
"3141","Spanish (Mexican)","produces","throw",24,29,48,0.376623376623377,"verbs","action_words","aventar","aventar, tirar",6,7.06053550640288,-6.21614385862001,5.55,4.52,10.025641025641,3.5,4.04
"3142","Spanish (Mexican)","produces","throw",24,29,48,0.376623376623377,"verbs","action_words","tirar","aventar, tirar",6,7.06053550640288,-6.21614385862001,5.55,4.52,10.025641025641,3.5,4.04
"3143","Spanish (Mexican)","produces","tickle",24,32,45,0.415584415584416,"other","games_routines","cosquillitas","cosquillitas",10,7.75,-11.1006925065413,6.14,5.86,11.8108108108108,6.842105263,3.85
"3144","Spanish (Mexican)","produces","tiger",24,26,51,0.337662337662338,"nouns","animals","tigre","tigre",5,6.75999999999823,-8.49515786896471,6,5.55,14.4117647058824,2,5
"3145","Spanish (Mexican)","produces","tired",24,21,56,0.272727272727273,"adjectives","descriptive_words","cansado","cansado",7,7.41025641025547,-8.2060563498587,4.29,3.67,12.9487179487179,4.25,3
"3146","Spanish (Mexican)","produces","today",24,16,61,0.207792207792208,"other","time_words","hoy","hoy",1,8.10636363636095,-6.66166772728018,NA,NA,7.81081081081081,2.714285714,2.57
"3147","Spanish (Mexican)","produces","tomorrow",24,20,57,0.25974025974026,"other","time_words","mañana","mañana",6,8.83522727273145,-7.10744406119059,NA,NA,16.6666666666667,2.133333333,2.04
"3148","Spanish (Mexican)","produces","tongue",24,48,29,0.623376623376623,"nouns","body_parts","lengua","lengua",6,6.04615384615385,-8.79044454080171,6.29,4.25,13.6969696969697,3.8,4.93
"3149","Spanish (Mexican)","produces","tooth",24,53,24,0.688311688311688,"nouns","body_parts","dientes","dientes",7,7.4210526315832,-8.23191986044862,5.06,3.52,12.4146341463415,7.3,4.89
"3150","Spanish (Mexican)","produces","toothbrush",24,42,35,0.545454545454545,"nouns","household","cepillo de dientes","cepillo de dientes",15,NA,NA,5.58,3.38,15.2105263157895,2.3,5
"3151","Spanish (Mexican)","produces","tortilla",24,53,24,0.688311688311688,"nouns","food_drink","tortilla","tortilla",7,7.19587628866062,-9.08067438533229,6.52,3.85,NA,NA,4.89
"3152","Spanish (Mexican)","produces","touch",24,24,53,0.311688311688312,"verbs","action_words","tocar","tocar",5,7.8669275929515,-6.33000788207566,6.64,4.9,13.96,6.4,3.86
"3153","Spanish (Mexican)","produces","towel",24,34,43,0.441558441558442,"nouns","household","toalla","toalla",5,6.6750000000005,-9.95206979729855,6.14,2.9,7.3953488372093,5.4,4.86
"3154","Spanish (Mexican)","produces","toy (object)",24,47,30,0.61038961038961,"nouns","toys","juguete","juguete",6,7.96354166666509,-7.30779959749476,7.29,4.29,10.90625,8.266666667,4.93
"3155","Spanish (Mexican)","produces","train",24,50,27,0.649350649350649,"nouns","vehicles","tren","tren",4,6.60233918128746,-7.82791141683692,6.36,4.05,10.0526315789474,3.545454545,4.79
"3156","Spanish (Mexican)","produces","trash",24,55,22,0.714285714285714,"nouns","household","basura","basura",6,6.14606741572854,-9.1658321936726,2.74,3.66,9.23809523809524,1.727272727,4.7
